date,product,price
24.09.2022,DS1621+,925
25.09.2022,DS1621+,925
26.09.2022,DS1621+,925
27.09.2022,DS1621+,925
28.09.2022,DS1621+,925
29.09.2022,DS1621+,925
30.09.2022,DS1621+,925
01.10.2022,DS1621+,948
02.10.2022,DS1621+,939
03.10.2022,DS1621+,939
04.10.2022,DS1621+,939
05.10.2022,DS1621+,965
06.10.2022,DS1621+,936
07.10.2022,DS1621+,931
08.10.2022,DS1621+,931
09.10.2022,DS1621+,918
10.10.2022,DS1621+,918
11.10.2022,DS1621+,918
12.10.2022,DS1621+,928
13.10.2022,DS1621+,926
14.10.2022,DS1621+,930
15.10.2022,DS1621+,936
16.10.2022,DS1621+,940
18.10.2022,DS1621+,940
19.10.2022,DS1621+,940
20.10.2022,DS1621+,940
21.10.2022,DS1621+,940
22.10.2022,DS1621+,940
23.10.2022,DS1621+,940
24.10.2022,DS1621+,940
25.10.2022,DS1621+,940
26.10.2022,DS1621+,940
27.10.2022,DS1621+,940
28.10.2022,DS1621+,940
29.10.2022,DS1621+,940
30.10.2022,DS1621+,940
31.10.2022,DS1621+,940
01.11.2022,DS1621+,940
02.11.2022,DS1621+,940
03.11.2022,DS1621+,940
04.11.2022,DS1621+,940
05.11.2022,DS1621+,960
06.11.2022,DS1621+,960
07.11.2022,DS1621+,960
08.11.2022,DS1621+,960
09.11.2022,DS1621+,960
10.11.2022,DS1621+,960
11.11.2022,DS1621+,954
12.11.2022,DS1621+,953
13.11.2022,DS1621+,944
14.11.2022,DS1621+,944
15.11.2022,DS1621+,943
16.11.2022,DS1621+,939
17.11.2022,DS1621+,943
18.11.2022,DS1621+,943
19.11.2022,DS1621+,943
20.11.2022,DS1621+,943
21.11.2022,DS1621+,943
22.11.2022,DS1621+,943
23.11.2022,DS1621+,954
24.11.2022,DS1621+,943
25.11.2022,DS1621+,943
26.11.2022,DS1621+,941
27.11.2022,DS1621+,943
28.11.2022,DS1621+,943
29.11.2022,DS1621+,941
30.11.2022,DS1621+,943
01.12.2022,DS1621+,943
02.12.2022,DS1621+,943
03.12.2022,DS1621+,923
04.12.2022,DS1621+,923
05.12.2022,DS1621+,923
06.12.2022,DS1621+,923
07.12.2022,DS1621+,923
08.12.2022,DS1621+,923
09.12.2022,DS1621+,933
10.12.2022,DS1621+,933
11.12.2022,DS1621+,933
12.12.2022,DS1621+,933
13.12.2022,DS1621+,933
14.12.2022,DS1621+,945
15.12.2022,DS1621+,945

16.12.2022,DS1621+,945
